Problem,Model,[TEXT] Dangling Parens,[TEXT] Line too long,[TEXT] Using car cdr,[TEXT] Cond without square brackets,[TEXT] Uninformative local names,[DEFNS] let-expr not at topmost start,[DEFNS] Nesting let-exprs or defines,[DEFNS] Unnecessary let* or letrec exprs,[DEFNS] Unused or useless local vars,[DEFNS] Not defining helpers or local vars,[COND] Nested if-expr instead of cond,[COND] (if COND #t #f),[TRAV] iteration instead of recursion,anon_id
HumaneEval_106_f,base,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.25,0.0,0.0,prog_31.rkt
HumaneEval_106_f,tuned,0.0,0.0,0.0,0.0,-0.5,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_29.rkt
HumaneEval_122_add_elements,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,prog_0.rkt
HumaneEval_122_add_elements,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,prog_7.rkt
HumaneEval_12_longest,base,0.0,-1.0,0.0,0.0,-0.25,-1.0,-2.0,0.0,0.0,0.0,-2.0,0.0,-1.5,prog_49.rkt
HumaneEval_12_longest,tuned,0.0,-0.25,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.25,-3.0,prog_39.rkt
HumaneEval_13_greatest_common_divisor,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_32.rkt
HumaneEval_13_greatest_common_divisor,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_14.rkt
HumaneEval_152_compare,base,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,prog_18.rkt
HumaneEval_152_compare,tuned,-0.25,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_35.rkt
HumaneEval_153_Strongest_Extension,base,0.0,0.0,-0.5,0.0,-0.25,-1.0,-2.0,0.0,0.0,-0.5,-1.0,0.0,0.0,prog_54.rkt
HumaneEval_153_Strongest_Extension,tuned,0.0,0.0,-0.5,0.0,-0.25,-0.5,-1.0,-1.0,-0.5,0.0,0.0,0.0,0.0,prog_52.rkt
HumaneEval_157_right_angle_triangle,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_21.rkt
HumaneEval_157_right_angle_triangle,tuned,-0.5,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,prog_23.rkt
HumaneEval_21_rescale_to_unit,base,0.0,0.0,-0.5,0.0,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_63.rkt
HumaneEval_21_rescale_to_unit,tuned,-0.5,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_53.rkt
HumaneEval_22_filter_integers,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_13.rkt
HumaneEval_22_filter_integers,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_9.rkt
HumaneEval_23_strlen,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_55.rkt
HumaneEval_23_strlen,tuned,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_19.rkt
HumaneEval_27_flip_case,base,0.0,-0.5,0.0,0.0,-0.25,0.0,-1.0,0.0,-0.5,0.0,0.0,0.0,0.0,prog_44.rkt
HumaneEval_27_flip_case,tuned,0.0,0.0,-0.5,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,prog_3.rkt
HumaneEval_28_concatenate,base,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_64.rkt
HumaneEval_28_concatenate,tuned,0.0,0.0,-0.5,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prog_16.rkt
