Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
eval_rkt_checkpoint-260,1,0.16304347826086957,161,20,20
eval_rkt_checkpoint-520,1,0.16956521739130434,161,20,20
eval_rkt_checkpoint-1040,1,0.18322981366459629,161,20,20
eval_rkt_checkpoint-1300,1,0.19844720496894408,161,20,20
eval_rkt_checkpoint-1560,1,0.18509316770186338,161,20,20
eval_rkt_checkpoint-1820,1,0.19161490683229815,161,20,20
eval_rkt_checkpoint-2080,1,0.18540372670807453,161,20,20
eval_rkt_checkpoint-2340,1,0.18944099378881987,161,20,20
eval_rkt_checkpoint-2600,1,0.19130434782608696,161,20,20

